u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,junction,access,width,tunnel,bridge
48930592,298186506,0,27176948,unclassified,1,20 mph,Portland Way,True,,False,44.149869936330134,"LINESTRING (429766.39270046074 434149.90497368993, 429776.0931021583 434144.9040049475, 429781.881337966 434143.00473931455, 429792.5887725779 434144.34108959767, 429807.0550139317 434152.21024880325)",,,,,
54568263,9791529,0,"[609729545, 609729546, 31958494]",tertiary,,20 mph,Calverley Street,False,,False,141.81199523761484,"LINESTRING (429795.48851436964 433981.1470164411, 429795.4942580468 433985.43069844355, 429795.5077036498 433992.65178633865, 429795.5188704701 433999.19415235275, 429796.0216487152 434036.20359253394, 429796.2492123344 434053.27286265336, 429793.8865321843 434071.6608548227, 429791.4601197284 434085.56452348665, 429789.03652535303 434097.98840638204, 429786.798643649 434103.98243648943, 429780.7694676407 434121.01200917293)",,,,,
54568263,4621501070,0,"[467542261, 1442962302]",tertiary,1,20 mph,Portland Street,True,,False,24.162521495973543,"LINESTRING (429795.48851436964 433981.1470164411, 429791.57779730106 433975.692536652, 429788.59948971384 433973.80440942256, 429785.29972270154 433971.7139701488, 429775.2676660803 433970.7935994705)",,,,,
9791699,342579578,0,30831675,unclassified,1,20 mph,Bridge Street,True,,False,11.875146535638287,"LINESTRING (430630.2738261808 433736.7997562917, 430631.34272314416 433748.63405978924)",,,,,
342579578,342579580,0,30831675,unclassified,1,20 mph,Bridge Street,True,,False,51.70465938125941,"LINESTRING (430631.34272314416 433748.63405978924, 430631.8473421809 433753.06564697984, 430635.4538319104 433780.79383888945, 430637.9503785005 433799.9474866239)",,,,,
9791722,26298425,0,1417962983,unclassified,,20 mph,Templar Street,False,,False,38.12540633225558,"LINESTRING (430637.7568967495 433827.57299785095, 430599.53903946496 433828.803517592)",,,,,
9791722,26298435,0,"[453297314, 453297315, 453297316]",unclassified,,20 mph,Bridge Street,False,,True,104.28285134329815,"LINESTRING (430637.7568967495 433827.57299785095, 430642.2462793926 433853.22633060324, 430643.7924809342 433860.546449261, 430654.87402176956 433896.4457181728, 430659.4204570929 433912.33049038483, 430663.1868373991 433928.64410039515)",,,,yes,
26298425,9791722,0,1417962983,unclassified,,20 mph,Templar Street,False,,True,38.12540633225558,"LINESTRING (430599.53903946496 433828.803517592, 430637.7568967495 433827.57299785095)",,,,,
26298425,26298424,0,27767549,unclassified,,20 mph,Templar Street,False,,False,29.352018972548333,"LINESTRING (430599.53903946496 433828.803517592, 430584.3278530828 433831.18556504627, 430570.6592156106 433834.389932335)",,,,,
26298435,26298434,0,453297314,unclassified,,20 mph,Bridge Street,False,,True,38.97358960267747,"LINESTRING (430663.1868373991 433928.64410039515, 430673.1628840412 433966.3497965225)",,,,,
26298435,304904904,0,6072860,unclassified,,20 mph,Trafalgar Street,False,,True,150.97882823574807,"LINESTRING (430663.1868373991 433928.64410039515, 430640.7840731657 433934.95110238146, 430618.6772469717 433941.3380261413, 430603.7037835772 433945.70205203374, 430517.98284673464 433971.4800642036)",,,,,
26298435,9791722,0,"[453297314, 453297315, 453297316]",unclassified,,20 mph,Bridge Street,False,,False,104.28285134329813,"LINESTRING (430663.1868373991 433928.64410039515, 430659.4204570929 433912.33049038483, 430654.87402176956 433896.4457181728, 430643.7924809342 433860.546449261, 430642.2462793926 433853.22633060324, 430637.7568967495 433827.57299785095)",,,,yes,
9792428,52889936,0,"[1319298176, 4598255, 1414509204, 1319300340, 8048507, 300914399]",unclassified,2,30 mph,Neville Street,False,,True,197.99563309462192,"LINESTRING (429949.4362923231 433096.07994048856, 429951.5950761673 433120.148859001, 429954.8832432968 433145.8271774722, 429956.7920300595 433157.44412924594, 429958.9026165215 433173.5685381945, 429959.5683685834 433178.6686506984, 429959.867668161 433181.31862985063, 429962.1937540856 433198.7684508712, 429964.811177167 433237.6605962062, 429968.79349738674 433274.28055669414, 429970.6450213974 433290.7259852006, 429970.8942362981 433292.96397120063)",,,,yes,
52889936,9792428,0,"[1319298176, 4598255, 1414509204, 1319300340, 8048507, 300914399]",unclassified,2,30 mph,Neville Street,False,,False,197.9956330946219,"LINESTRING (429970.8942362981 433292.96397120063, 429970.6450213974 433290.7259852006, 429968.79349738674 433274.28055669414, 429964.811177167 433237.6605962062, 429962.1937540856 433198.7684508712, 429959.867668161 433181.31862985063, 429959.5683685834 433178.6686506984, 429958.9026165215 433173.5685381945, 429956.7920300595 433157.44412924594, 429954.8832432968 433145.8271774722, 429951.5950761673 433120.148859001, 429949.4362923231 433096.07994048856)",,,,yes,
9823073,1152092910,0,48477918,trunk_link,1,30 mph,,True,,False,116.57589586175975,"LINESTRING (430946.8143695572 433776.68334728584, 430914.8349178809 433778.7312747835, 430833.11330218706 433801.59253116336)",,yes,,,
9823073,370191920,0,"[812851864, 32863858, 206566460]",motorway,2,40 mph,Inner Ring Road,True,A64(M),False,275.7512019134588,"LINESTRING (430946.8143695572 433776.68334728584, 430919.3159109014 433785.43661392503, 430831.6466671766 433813.2878425184, 430770.4558088039 433832.31296826433, 430682.96483749076 433859.36703814345)",,,,,yes
1152092910,1569761300,0,143459488,unclassified,,,,True,,False,28.44437356244456,"LINESTRING (430833.11330218706 433801.59253116336, 430828.07422504324 433799.61231888586, 430823.9323729495 433797.4154762811, 430819.7299112156 433794.4171405933, 430815.58297197236 433789.9838711552, 430811.9149894252 433783.8291616144)",,yes,,,
1152092910,615978081,0,583053006,trunk_link,,,,True,,False,21.175319006802994,"LINESTRING (430833.11330218706 433801.59253116336, 430827.7670377939 433803.2597518646, 430822.8027840254 433803.92811347614, 430815.6168163752 433803.89205944166, 430812.3972354456 433802.6804025433)",,yes,,,
370191920,1743296708,0,"[616128592, 39173305, 162428104, 162428103]",motorway_link,"['2', '1']","['30 mph', '40 mph']",,True,A64(M),False,250.00232326583466,"LINESTRING (430682.96483749076 433859.36703814345, 430663.0517416941 433860.59433345357, 430657.22177111404 433861.7133961142, 430632.8406096866 433867.3288093299, 430623.42413473496 433869.9710754851, 430600.89700589067 433877.1341893268, 430569.46771205636 433886.87637747184, 430529.2494887169 433899.0205330214, 430497.5257071953 433909.52900605777, 430464.6842564328 433923.8022774501, 430461.59289148997 433925.1618847338, 430448.4787531384 433929.24918736296, 430443.6661247153 433930.9425589071)",,,,,yes
370191920,52162718,0,"[206817419, 6072853, 31969782, 31969784, 27475034]",motorway,2,40 mph,Inner Ring Road,True,A64(M),False,424.3155122347921,"LINESTRING (430682.96483749076 433859.36703814345, 430658.74504232046 433867.4979312066, 430635.7837229728 433874.5690307955, 430623.4361413049 433878.22692006745, 430598.76600437757 433885.7543600481, 430551.2207237201 433901.3331236732, 430497.0975245286 433918.6609716923, 430475.3988564924 433928.1443532356, 430461.6848838681 433934.3306078926, 430445.1991205709 433944.40427861386, 430430.4509153197 433954.689545452, 430414.59085757117 433970.88688083785, 430397.8522876374 433990.53887995565, 430383.3006425285 434017.3037150211, 430376.7507808327 434033.01625791134, 430370.57759549667 434052.6143490323, 430362.535416922 434089.2904579465)",,,,yes,yes
