osmid,y,x,street_count,highway,junction,geometry
1591373193,433868.2161842468,430866.8080349524,3,,,POINT (430866.8080349524 433868.2161842468)
26298442,433842.2712033092,430838.2933431613,1,,,POINT (430838.2933431613 433842.2712033092)
3381506667,433837.8628574556,430824.3913128122,4,,,POINT (430824.3913128122 433837.8628574556)
26298474,433789.2155674341,430418.0206696205,1,,,POINT (430418.0206696205 433789.2155674341)
26298479,433882.6987136197,429999.5230028127,2,,,POINT (429999.5230028127 433882.6987136197)
247352905,433944.2392878999,430003.11461111397,3,,,POINT (430003.11461111397 433944.2392878999)
26300437,433634.8933783689,430684.79440394195,3,,,POINT (430684.79440394195 433634.8933783689)
26661423,433329.2275654825,430754.1558423694,3,,,POINT (430754.1558423694 433329.2275654825)
320952839,433327.71286123595,430743.7312058109,3,,,POINT (430743.7312058109 433327.71286123595)
26661432,433519.1689114199,430764.82783371315,3,,yes,POINT (430764.82783371315 433519.1689114199)
26661446,433603.424051372,430843.781815548,1,,,POINT (430843.781815548 433603.424051372)
26661448,433595.09170296893,430898.1208571751,3,,,POINT (430898.1208571751 433595.09170296893)
26661450,433536.320102546,430891.037827275,3,,,POINT (430891.037827275 433536.320102546)
3181227677,433508.7140731779,430889.1181620235,3,,,POINT (430889.1181620235 433508.7140731779)
30822588,433866.58467581763,430427.7616603796,1,,,POINT (430427.7616603796 433866.58467581763)
30822834,433377.9908734957,429801.24018772045,3,,,POINT (429801.24018772045 433377.9908734957)
9791129,433421.1336048066,429693.29003345885,3,,,POINT (429693.29003345885 433421.1336048066)
11112217822,433361.82521742093,429766.30439133913,3,,,POINT (429766.30439133913 433361.82521742093)
342660327,434014.86997866177,430043.21619518875,3,,,POINT (430043.21619518875 434014.86997866177)
49556023,434403.07006436866,430284.06913762935,4,,,POINT (430284.06913762935 434403.07006436866)
4936807738,434179.9646417608,430062.60329971096,3,,,POINT (430062.60329971096 434179.9646417608)
1303879422,434361.67490303435,430214.22820076055,4,,,POINT (430214.22820076055 434361.67490303435)
49556960,434358.54987846815,430886.21311847353,3,,,POINT (430886.21311847353 434358.54987846815)
3071035461,434334.3216875066,430871.76468781027,3,,,POINT (430871.76468781027 434334.3216875066)
49556962,434354.23293477774,430899.7494801518,3,,,POINT (430899.7494801518 434354.23293477774)
52161947,434233.03157612646,430633.0160447836,3,,,POINT (430633.0160447836 434233.03157612646)
13005195583,434235.6113999323,430639.6051583697,4,,,POINT (430639.6051583697 434235.6113999323)
52161965,434315.61933542055,430663.1747345204,3,,,POINT (430663.1747345204 434315.61933542055)
250960421,434410.8734479953,430680.3805593699,3,,,POINT (430680.3805593699 434410.8734479953)
52162211,434517.11112884723,430798.046028577,4,,,POINT (430798.046028577 434517.11112884723)
52162219,434518.2592628738,430744.0678799069,3,,,POINT (430744.0678799069 434518.2592628738)
304904885,434380.11185953347,430733.5330226515,3,,,POINT (430733.5330226515 434380.11185953347)
304904880,434132.66630500625,430719.01687640254,3,,,POINT (430719.01687640254 434132.66630500625)
52678401,434204.27592786704,430783.5873123015,3,,,POINT (430783.5873123015 434204.27592786704)
52162322,434032.46215677017,430509.18860856676,3,,,POINT (430509.18860856676 434032.46215677017)
52163767,434028.11366800405,430403.1679442478,3,,,POINT (430403.1679442478 434028.11366800405)
52162388,434090.159107664,430558.112755945,3,,,POINT (430558.112755945 434090.159107664)
52162344,433997.43273838365,430472.66348429874,3,,,POINT (430472.66348429874 433997.43273838365)
52162703,434012.5643892889,430426.32141548017,1,,,POINT (430426.32141548017 434012.5643892889)
52162814,434024.3443013263,430501.3046559598,3,,,POINT (430501.3046559598 434024.3443013263)
52162350,433974.0922943135,430440.4947738017,3,,,POINT (430440.4947738017 433974.0922943135)
1743296786,433984.10557028325,430455.86210703885,3,,,POINT (430455.86210703885 433984.10557028325)
52167467,434084.600559348,430563.95156609407,4,,,POINT (430563.95156609407 434084.600559348)
250961841,434173.77812503127,430606.59003112937,3,,,POINT (430606.59003112937 434173.77812503127)
52162718,434089.2904579465,430362.535416922,3,,,POINT (430362.535416922 434089.2904579465)
301673098,434269.3336680144,430310.3216213265,3,motorway_junction,,POINT (430310.3216213265 434269.3336680144)
52162805,433953.09654454025,430473.0303505689,4,traffic_signals,,POINT (430473.0303505689 433953.09654454025)
13025664346,433857.4356098358,430761.86011050415,3,,,POINT (430761.86011050415 433857.4356098358)
52163568,434042.7888113678,430433.98973129725,1,,,POINT (430433.98973129725 434042.7888113678)
358204009,433833.3491947346,430804.60796846787,3,motorway_junction,,POINT (430804.60796846787 433833.3491947346)
52167239,434004.218200954,430205.5890708111,4,,,POINT (430205.5890708111 434004.218200954)
1600452710,434013.4780668629,430204.2846373087,3,,,POINT (430204.2846373087 434013.4780668629)
342660306,433922.3673334614,430190.92042457487,3,,,POINT (430190.92042457487 433922.3673334614)
52167301,433926.56071588583,430164.7643431396,3,,yes,POINT (430164.7643431396 433926.56071588583)
52350416,434066.2948478415,430549.844078721,3,,,POINT (430549.844078721 434066.2948478415)
52167499,434042.0063536811,430616.4991057096,3,,,POINT (430616.4991057096 434042.0063536811)
52167555,434056.8836423791,430575.73736122646,3,,,POINT (430575.73736122646 434056.8836423791)
52167520,434018.2888208848,430686.9515168331,3,,,POINT (430686.9515168331 434018.2888208848)
1743296800,433998.1357823536,430681.35958023265,2,,,POINT (430681.35958023265 433998.1357823536)
52167543,433995.3264164707,430680.5151081194,3,,,POINT (430680.5151081194 433995.3264164707)
52167573,434035.59511396906,430566.6154558087,4,,,POINT (430566.6154558087 434035.59511396906)
304904907,434011.8035412418,430547.29409020353,3,,,POINT (430547.29409020353 434011.8035412418)
52350418,434049.3215884159,430535.3128655798,3,,,POINT (430535.3128655798 434049.3215884159)
342660357,433916.69492032204,430355.13533518405,3,,,POINT (430355.13533518405 433916.69492032204)
52350420,433983.99309871125,430477.9606894626,4,,,POINT (430477.9606894626 433983.99309871125)
52351599,433981.23251470726,430476.0553422179,3,,,POINT (430476.0553422179 433981.23251470726)
52350425,433958.24248577154,430455.02875470405,4,,,POINT (430455.02875470405 433958.24248577154)
