reference_number,accident_date,easting,northing,time_24hr,year,source_file,accident_uid,selected_area_name
13F1387,2014-03-15,430220,434373,1818,2014,2014.csv,2014_13F1387,leeds_central_selected_box
13M0191,2014-03-22,430017,434106,210,2014,2014.csv,2014_13M0191,leeds_central_selected_box
13P1326,2014-03-25,430633,433696,1641,2014,2014.csv,2014_13P1326,leeds_central_selected_box
13R0628,2014-03-27,429931,433518,1321,2014,2014.csv,2014_13R0628,leeds_central_selected_box
13S0610,2014-03-28,430335,433394,1238,2014,2014.csv,2014_13S0610,leeds_central_selected_box
13S1215,2014-03-28,430662,433929,1716,2014,2014.csv,2014_13S1215,leeds_central_selected_box
140010999,2014-01-03,429817,433660,1910,2014,2014.csv,2014_140010999,leeds_central_selected_box
140012302,2014-01-01,430481,433453,5,2014,2014.csv,2014_140012302,leeds_central_selected_box
140026876,2014-01-20,430503,434083,145,2014,2014.csv,2014_140026876,leeds_central_selected_box
140034129,2014-01-24,430266,433735,1540,2014,2014.csv,2014_140034129,leeds_central_selected_box
140043770,2014-01-31,429791,433962,2112,2014,2014.csv,2014_140043770,leeds_central_selected_box
140043796,2014-02-01,429798,433788,35,2014,2014.csv,2014_140043796,leeds_central_selected_box
140044522,2014-02-01,430493,433709,1515,2014,2014.csv,2014_140044522,leeds_central_selected_box
140053144,2014-01-13,430673,434339,910,2014,2014.csv,2014_140053144,leeds_central_selected_box
140096680,2014-03-09,430278,434313,200,2014,2014.csv,2014_140096680,leeds_central_selected_box
1421333,2014-04-02,430576,433446,1600,2014,2014.csv,2014_1421333,leeds_central_selected_box
1450279,2014-04-05,429887,434264,315,2014,2014.csv,2014_1450279,leeds_central_selected_box
1461278,2014-04-06,430413,433714,1640,2014,2014.csv,2014_1461278,leeds_central_selected_box
1470521,2014-04-05,430775,433453,945,2014,2014.csv,2014_1470521,leeds_central_selected_box
1480678,2014-04-08,430473,433750,1250,2014,2014.csv,2014_1480678,leeds_central_selected_box
14I0431,2014-04-17,430508,433455,2315,2014,2014.csv,2014_14I0431,leeds_central_selected_box
14I0904,2014-04-18,430212,433401,1518,2014,2014.csv,2014_14I0904,leeds_central_selected_box
14K0632,2014-04-06,430232,433425,15,2014,2014.csv,2014_14K0632,leeds_central_selected_box
14M0162,2014-04-22,430064,433776,542,2014,2014.csv,2014_14M0162,leeds_central_selected_box
14Q1587,2014-04-25,429946,433788,1940,2014,2014.csv,2014_14Q1587,leeds_central_selected_box
14U1145,2014-04-30,430629,434216,1500,2014,2014.csv,2014_14U1145,leeds_central_selected_box
15B0557,2014-05-11,430383,433575,1100,2014,2014.csv,2014_15B0557,leeds_central_selected_box
15C1074,2014-05-12,430260,434079,1615,2014,2014.csv,2014_15C1074,leeds_central_selected_box
15D0396,2014-05-13,429887,434259,953,2014,2014.csv,2014_15D0396,leeds_central_selected_box
15E1064,2014-05-14,430678,433542,1350,2014,2014.csv,2014_15E1064,leeds_central_selected_box
15J1610,2014-05-19,430785,433345,1915,2014,2014.csv,2014_15J1610,leeds_central_selected_box
15Q0515,2014-05-26,430634,433681,1008,2014,2014.csv,2014_15Q0515,leeds_central_selected_box
15R1430,2014-05-27,430087,433772,1445,2014,2014.csv,2014_15R1430,leeds_central_selected_box
1610836,2014-06-01,430877,434256,1248,2014,2014.csv,2014_1610836,leeds_central_selected_box
1630945,2014-06-09,430798,433458,945,2014,2014.csv,2014_1630945,leeds_central_selected_box
16A0804,2014-06-11,430413,433724,1353,2014,2014.csv,2014_16A0804,leeds_central_selected_box
16B1196,2014-06-11,430765,433452,1545,2014,2014.csv,2014_16B1196,leeds_central_selected_box
16K1653,2014-06-20,429804,433477,1730,2014,2014.csv,2014_16K1653,leeds_central_selected_box
16O0806,2014-06-24,430403,433667,1315,2014,2014.csv,2014_16O0806,leeds_central_selected_box
16P1567,2014-06-25,430032,433375,1800,2014,2014.csv,2014_16P1567,leeds_central_selected_box
16S0273,2014-06-28,430788,433328,405,2014,2014.csv,2014_16S0273,leeds_central_selected_box
16S0581,2014-06-28,430073,433865,1031,2014,2014.csv,2014_16S0581,leeds_central_selected_box
16U0766,2014-06-30,430414,433725,1200,2014,2014.csv,2014_16U0766,leeds_central_selected_box
1710459,2014-07-01,430375,433496,1010,2014,2014.csv,2014_1710459,leeds_central_selected_box
1720356,2014-07-02,430340,433391,916,2014,2014.csv,2014_1720356,leeds_central_selected_box
1720475,2014-07-02,430837,434002,750,2014,2014.csv,2014_1720475,leeds_central_selected_box
1741601,2014-07-04,429954,433798,1900,2014,2014.csv,2014_1741601,leeds_central_selected_box
1750411,2014-07-05,430875,434352,1510,2014,2014.csv,2014_1750411,leeds_central_selected_box
17B0790,2014-07-08,430097,433830,1335,2014,2014.csv,2014_17B0790,leeds_central_selected_box
17C2155,2014-07-12,429939,433389,2315,2014,2014.csv,2014_17C2155,leeds_central_selected_box
17E0742,2014-07-14,430878,434323,1249,2014,2014.csv,2014_17E0742,leeds_central_selected_box
17I1703,2014-07-18,430844,433470,1925,2014,2014.csv,2014_17I1703,leeds_central_selected_box
17L0495,2014-07-20,430306,433854,230,2014,2014.csv,2014_17L0495,leeds_central_selected_box
17N0976,2014-07-23,430846,433470,1508,2014,2014.csv,2014_17N0976,leeds_central_selected_box
17O1143,2014-07-24,430812,433798,1634,2014,2014.csv,2014_17O1143,leeds_central_selected_box
17R0120,2014-07-27,430881,433361,54,2014,2014.csv,2014_17R0120,leeds_central_selected_box
17T1202,2014-07-29,430422,433964,1700,2014,2014.csv,2014_17T1202,leeds_central_selected_box
17T1602,2014-07-29,429935,433609,1657,2014,2014.csv,2014_17T1602,leeds_central_selected_box
1851416,2014-08-05,430081,433864,1928,2014,2014.csv,2014_1851416,leeds_central_selected_box
1860189,2014-08-06,429946,434287,445,2014,2014.csv,2014_1860189,leeds_central_selected_box
1870357,2014-08-08,430839,434003,842,2014,2014.csv,2014_1870357,leeds_central_selected_box
1891263,2014-08-09,430295,433732,1710,2014,2014.csv,2014_1891263,leeds_central_selected_box
18A1643,2014-08-10,430785,433439,2302,2014,2014.csv,2014_18A1643,leeds_central_selected_box
18G1706,2014-08-16,430427,433460,2215,2014,2014.csv,2014_18G1706,leeds_central_selected_box
18K0947,2014-08-20,429858,433787,1535,2014,2014.csv,2014_18K0947,leeds_central_selected_box
1920518,2014-09-02,430863,434357,1100,2014,2014.csv,2014_1920518,leeds_central_selected_box
19B1395,2014-09-11,429846,433793,1710,2014,2014.csv,2014_19B1395,leeds_central_selected_box
19D0736,2014-09-13,429789,433800,1215,2014,2014.csv,2014_19D0736,leeds_central_selected_box
