editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Rotpunkt,4,1.0,1.0,0.03125,1.0,3,0.013215859030837005,1,{'Pasleim': 1},0.19918681113820094,0.02857142857142857,0.04015103838892385,0.42750123011008817,138,lower
Brackenheim,6,1.0,1.0,0.015625,1.0,3,0.013100436681222707,1,{'Pasleim': 1},0.27233044286743946,0.02857142857142857,0.03980037429819089,0.42721709528747676,139,lower
Joshbaumgartner,6,1.0,1.0,0.015625,1.0,3,0.013100436681222707,1,{'Pasleim': 1},0.27233044286743946,0.02857142857142857,0.03980037429819089,0.42721709528747676,140,lower
Ju gatsu mikka,2,1.0,1.0,0.078125,1.0,1,0.004405286343612335,1,{'Pasleim': 1},0.08814156806615323,0.009523809523809525,0.013383679462974618,0.42718145825436704,141,lower
Ainali,5,1.0,1.0,0.015625,1.0,3,0.013157894736842105,1,{'Pasleim': 1},0.2388205739126649,0.02857142857142857,0.03997493734335839,0.4255590581442548,142,lower
Galaktos,5,1.0,1.0,0.015625,1.0,3,0.013157894736842105,1,{'Pasleim': 1},0.2388205739126649,0.02857142857142857,0.03997493734335839,0.4255590581442548,143,lower
MisterSanderson,5,1.0,1.0,0.015625,1.0,3,0.013157894736842105,1,{'Pasleim': 1},0.2388205739126649,0.02857142857142857,0.03997493734335839,0.4255590581442548,144,lower
Underlying lk,5,1.0,1.0,0.015625,1.0,3,0.013157894736842105,1,{'Pasleim': 1},0.2388205739126649,0.02857142857142857,0.03997493734335839,0.4255590581442548,145,lower
Wesalius,5,1.0,1.0,0.015625,1.0,3,0.013157894736842105,1,{'Pasleim': 1},0.2388205739126649,0.02857142857142857,0.03997493734335839,0.4255590581442548,146,lower
분당선M,5,1.0,1.0,0.015625,1.0,3,0.013157894736842105,1,{'Pasleim': 1},0.2388205739126649,0.02857142857142857,0.03997493734335839,0.4255590581442548,147,lower
130.88.141.34,4,1.0,1.0,0.015625,1.0,3,0.013215859030837005,1,{'Pasleim': 1},0.19918681113820094,0.02857142857142857,0.04015103838892385,0.42359498011008817,148,lower
Anonymous_username_37,4,1.0,1.0,0.015625,1.0,3,0.013215859030837005,1,{'Pasleim': 1},0.19918681113820094,0.02857142857142857,0.04015103838892385,0.42359498011008817,149,lower
