editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Nikki,250,0.75,0.5,0.015251989389920425,0.5,151,0.10185873605947955,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6185608028546592,0.16891891891891891,0.4982958298310752,0.43828512140416276,59,lower
Jared Preston,240,0.75,0.5,0.021883289124668436,0.5,138,0.09279881217520415,1,"{'Cycn': 1, 'Pütz M.': 2}",0.613356618196925,0.15427927927927929,0.4536198515173079,0.4356534092385732,60,lower
HakanIST,276,0.75,0.5,0.003978779840848806,0.5,142,0.09433962264150944,1,"{'Cycn': 1, 'Pütz M.': 2}",0.631177590942366,0.15878378378378377,0.46121784194830434,0.43379390599108164,61,lower
Hazard-SJ,260,0.75,0.5,0.006631299734748011,0.5,132,0.08746355685131195,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6235616462815888,0.14752252252252251,0.42731082793242786,0.43112213590990267,62,lower
Moe Epsilon,296,0.75,0.5,0.005305039787798408,0.5,133,0.08368794326241134,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6401014341914778,0.14864864864864866,0.4086926548690038,0.43086557727544866,63,lower
GZWDer,173,0.75,0.5,0.03580901856763926,0.5,117,0.07662835249042145,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5716599589026302,0.13063063063063063,0.37388064891154793,0.4300018971672998,64,lower
SamoaBot,170,0.75,0.5,0.07493368700265252,0.5,82,0.05811320754716981,1,"{'Cycn': 1, 'Pütz M.': 2}",0.569433723462993,0.09121621621621621,0.28257941674593956,0.42920901603259876,65,lower
Bencemac,249,0.75,0.5,0.010610079575596816,0.5,119,0.08181154127100074,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6180498029293922,0.13288288288288289,0.39943980730130324,0.42878478471494236,66,lower
Fralambert,389,0.75,0.5,0.005968169761273209,0.5,116,0.06855636123928807,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6749719499043918,0.12950450450450451,0.3340763292847063,0.42709649836215996,67,lower
Liuxinyu970226,185,0.75,0.5,0.022546419098143235,0.5,108,0.07267221801665405,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5801968090554176,0.1204954954954955,0.3543722976037471,0.42578728870213645,68,lower
Pigsonthewing,242,0.75,0.5,0.004641909814323607,0.5,116,0.07591240875912408,1,"{'Cycn': 1, 'Pütz M.': 2}",0.614414519352886,0.12950450450450451,0.3703502123403496,0.4256170689979769,69,lower
Vogone,267,0.75,0.5,0.001326259946949602,0.5,113,0.07147962830593281,1,"{'Cycn': 1, 'Pütz M.': 2}",0.6269495082212109,0.12612612612612611,0.3484914411270301,0.42414991206941455,70,lower
PinkAmpersand,206,0.75,0.5,0.005305039787798408,0.5,111,0.07233407904548844,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5938898085176058,0.12387387387387387,0.3527048785905418,0.42327812970035444,71,lower
ChristianKl,176,0.75,0.5,0.001989389920424403,0.5,98,0.06585919757759273,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5738481371660434,0.10923423423423423,0.3207761706081283,0.4185525167962168,72,lower
QZanden,178,0.75,0.5,0.005968169761273209,0.5,92,0.06334841628959276,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5752864142222076,0.10247747747747747,0.3083950941436795,0.41812545711829674,73,lower
Esteban16,183,0.75,0.5,0.005305039787798408,0.5,92,0.06151537884471118,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5788129543742117,0.10247747747747747,0.2993560843040949,0.41771720763922277,74,lower
Trade,181,0.75,0.5,0.001326259946949602,0.5,91,0.062406015037593986,1,"{'Cycn': 1, 'Pütz M.': 2}",0.577413975298673,0.10135135135135136,0.3037479582035819,0.4169584837996378,75,lower
Bene*,211,0.75,0.5,0.001326259946949602,0.5,89,0.05636896046852123,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5969449729046737,0.0990990990990991,0.2739782468404389,0.41622132288655544,76,lower
billinghurst,123,0.75,0.5,0.007294429708222812,0.5,91,0.06108065779169929,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5282951216764589,0.10135135135135136,0.29721240312255587,0.4153693973167304,77,lower
Vituzzu,168,0.75,0.5,0.003978779840848806,0.5,87,0.055011303692539565,1,"{'Cycn': 1, 'Pütz M.': 2}",0.5679277612543686,0.09684684684684684,0.2672834174515773,0.41474099958815175,78,lower
