editor,direct_sources_connected,combined_direct_transmission_probability,total_direct_weight_from_sources,degree
Valeriummaximum,1,0.05712685614512503,1.0,14
Addshore,1,0.05712685614512503,1.0,13
Arpyia,1,0.05712685614512503,1.0,13
Beleg Tâl,1,0.05712685614512503,1.0,13
Belteshassar,1,0.05712685614512503,1.0,13
Carwil,1,0.05712685614512503,1.0,13
Germartin1,1,0.05712685614512503,1.0,13
Husky,1,0.05712685614512503,1.0,13
Juandev,1,0.05712685614512503,1.0,13
RaboKarbakian,1,0.05712685614512503,1.0,13
Tom.Reding,1,0.05712685614512503,1.0,13
Jc3s5h,1,0.05712685614512503,1.0,12
Melderick,1,0.05712685614512503,1.0,12
Papuass,1,0.05712685614512503,1.0,12
Peter coxhead,1,0.05712685614512503,1.0,12
Yerpo,1,0.05712685614512503,1.0,12
Arlo Barnes,1,0.05712685614512503,1.0,11
Happy5214,1,0.05712685614512503,1.0,11
John Cummings,1,0.05712685614512503,1.0,11
Marv1N,1,0.05712685614512503,1.0,11
Seav,1,0.05712685614512503,1.0,11
Antoine2711,1,0.05712685614512503,1.0,10
Horcrux,1,0.05712685614512503,1.0,10
Jared Preston,1,0.05712685614512503,1.0,10
Joshbaumgartner,1,0.05712685614512503,1.0,10
Laddo,1,0.05712685614512503,1.0,10
Rschen7754,1,0.05712685614512503,1.0,10
T.seppelt,1,0.05712685614512503,1.0,10
Asqueladd,1,0.05712685614512503,1.0,9
D1gggg,1,0.05712685614512503,1.0,9
Danneks,1,0.05712685614512503,1.0,9
Giaccai,1,0.05712685614512503,1.0,9
Holger1959,1,0.05712685614512503,1.0,9
KCVelaga,1,0.05712685614512503,1.0,9
NessieVL,1,0.05712685614512503,1.0,9
Salgo60,1,0.05712685614512503,1.0,9
UWashPrincipalCataloger,1,0.05712685614512503,1.0,9
Vanbasten 23,1,0.05712685614512503,1.0,9
Anonymous_username_960,1,0.05712685614512503,1.0,8
CennoxX,1,0.05712685614512503,1.0,8
Dipsacus fullonum,1,0.05712685614512503,1.0,8
DrThneed,1,0.05712685614512503,1.0,8
Klaas van Buiten,1,0.05712685614512503,1.0,8
Llywelyn2000,1,0.05712685614512503,1.0,8
Loominade,1,0.05712685614512503,1.0,8
LydiaPintscher,1,0.05712685614512503,1.0,8
Monster Iestyn,1,0.05712685614512503,1.0,8
Rehman,1,0.05712685614512503,1.0,8
Strobilomyces,1,0.05712685614512503,1.0,8
Teester,1,0.05712685614512503,1.0,8
Vargenau,1,0.05712685614512503,1.0,8
Wylve,1,0.05712685614512503,1.0,8
Artem.komisarenko,1,0.05712685614512503,1.0,7
Biggins,1,0.05712685614512503,1.0,7
Joao4669,1,0.05712685614512503,1.0,7
JohnMarkOckerbloom,1,0.05712685614512503,1.0,7
Lrobare,1,0.05712685614512503,1.0,7
Vinkje83,1,0.05712685614512503,1.0,7
Anonymous_username_950,1,0.05712685614512503,1.0,6
Cavernia,1,0.05712685614512503,1.0,6
De728631,1,0.05712685614512503,1.0,6
Jan.Kamenicek,1,0.05712685614512503,1.0,6
Mbch331,1,0.05712685614512503,1.0,6
RShigapov,1,0.05712685614512503,1.0,6
AmarilisMGC,1,0.05712685614512503,1.0,5
Anne-Sophie Ofrim,1,0.05712685614512503,1.0,5
Authueil,1,0.05712685614512503,1.0,5
Categerhart,1,0.05712685614512503,1.0,5
Ein Dahmer,1,0.05712685614512503,1.0,5
Jagulin,1,0.05712685614512503,1.0,5
Kacir,1,0.05712685614512503,1.0,5
KlaasZ4usV,1,0.05712685614512503,1.0,5
Mathieudu68,1,0.05712685614512503,1.0,5
Mikey641,1,0.05712685614512503,1.0,5
Milicevic01,1,0.05712685614512503,1.0,5
Mpiva,1,0.05712685614512503,1.0,5
Mushroom,1,0.05712685614512503,1.0,5
Pierpao,1,0.05712685614512503,1.0,5
Rhudson,1,0.05712685614512503,1.0,5
Shinnin,1,0.05712685614512503,1.0,5
Simon.letort,1,0.05712685614512503,1.0,5
Skim,1,0.05712685614512503,1.0,5
Stevenliuyi,1,0.05712685614512503,1.0,5
Syced,1,0.05712685614512503,1.0,5
Tom Morris,1,0.05712685614512503,1.0,5
Wikidelo,1,0.05712685614512503,1.0,5
Чаховіч Уладзіслаў,1,0.05712685614512503,1.0,5
Clements.UWLib,1,0.05712685614512503,1.0,4
Cycn,1,0.05712685614512503,1.0,4
Deborahjay,1,0.05712685614512503,1.0,4
Discostu,1,0.05712685614512503,1.0,4
Emijrp,1,0.05712685614512503,1.0,4
Esquilo#What_should_we_do_about_draft_%28P2262%29_vs._height_%28P2048%29_of_%28P642%29_draft_%28Q244777%29%3F,1,0.05712685614512503,1.0,4
Iliev,1,0.05712685614512503,1.0,4
Julian Jarosch (digicademy),1,0.05712685614512503,1.0,4
LWyatt (WMF),1,0.05712685614512503,1.0,4
